Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
Doja Cat,Gun,,192,1,1,"1,215,460","1,215,460"
Brent Faiyaz,PRICE OF FAME,,88,1,1,"1,214,680","1,214,680"
Twenty One Pilots,Good Day,,95,1,1,"1,214,644","1,214,644"
Young Thug,Uncle M,,200,1,1,"1,214,498","1,214,498"
keshi,WANTCHU,,198,1,1,"1,211,838","1,211,838"
Panic! At The Disco,Crazy=Genius,,174,1,5,"263,538","1,210,683"
Rauw Alejandro,PICARDÍA,,199,1,1,"1,210,266","1,210,266"
Sfera Ebbasta,Serpenti A Sonagli,,165,1,2,"648,261","1,210,151"
Katy Perry,Witness,,105,1,2,"753,700","1,208,247"
Rihanna,Higher,,147,1,4,"308,424","1,207,891"
Juice WRLD,My Life In A Nutshell,,107,1,1,"1,207,582","1,207,582"
Ed Sheeran,F64,,146,1,1,"1,207,425","1,207,425"
Raghav Chaitanya,"Hua Main (From ""ANIMAL"")",,200,1,1,"1,206,832","1,206,832"
Megan Moroney,6 Months Later,,195,1,1,"1,206,492","1,206,492"
Rels B,Por Dentro,,172,1,1,"1,206,095","1,206,095"
Mc IG,Diz Aí Qual é o Plano?,,199,1,1,"1,205,890","1,205,890"
Stray Kids,Leave,,194,1,1,"1,205,148","1,205,148"
Zach Bryan,Blue Jean Baby,,197,1,1,"1,203,861","1,203,861"
6ix9ine,LOCKED UP PT. 2,,77,1,1,"1,203,193","1,203,193"
DIVINE,Chorni,,194,1,1,"1,203,133","1,203,133"
Sam Smith,Drowning Shadows,,124,1,5,"313,567","1,202,875"
Jack Harlow,Parent Trap,,112,1,1,"1,201,953","1,201,953"
Ninho,Sky Priority,,106,1,1,"1,201,332","1,201,332"
The National,The Alcott,,186,1,1,"1,201,061","1,201,061"
Playboi Carti,New Tank,,169,1,1,"1,200,542","1,200,542"
Katy Perry,Never Worn White,,110,1,1,"1,199,557","1,199,557"
Future,Super Trapper,,116,1,2,"681,011","1,199,195"
ZAYN,Connexion,,77,1,1,"1,196,538","1,196,538"
Lil Uzi Vert,How To Talk,,137,1,2,"696,349","1,196,525"
Stray Kids,"TASTE (Lee Know, Hyunjin, Felix)",,107,1,1,"1,196,209","1,196,209"
